10/12/2024 09:45:54	SHS	7019	udāna	rises us	rises up	Typo	srhodes@snowcrest.net	Done
10/12/2024 09:47:27	SHS	7019	udāna	eye-lash	eyelash	Typo	srhodes@snowcrest.net	Not required
10/19/2024 12:19:40	AP90	5765	ākūtiḥ	°para a. accomplishing one's own intentions. 	°pra a. accomplishing one's own intentions. 	"Typo – Please note that this is a possible ""print change"" that needs confirmation one way or the other. MW dictionary gives this word as ""ākūtipra"" (where the word 'pra' has been confirmed in this usage). However, I am uncertain if the word 'para' can be used in the sense of  'accomplishing' (unless this is an extension of the authorized sense of the word para: 'following'). Also, have you considered adding all of the APTE compounds as ""searchable"" Headwords. Of course this would be a HUGE undertaking, but possibly very worthwhile."	srhodes@snowcrest.net	Not required
10/24/2024 22:24:29	MW	260297	han	°nire Subj.	°nire, Subj.	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025
10/25/2024 04:26:20	SHS	13901	gai	chaunt	chant 	"Typo – Please note that this is a suggested ""print change"". I just did a Google Search and the verdict is as follows: ""Obsolete spelling of chant."" If you agree to make this change, then let's make it Global!"	srhodes@snowcrest.net	Not required. Dictionary is well within its right to use obsolete terms.
10/25/2024 04:28:00	SHS	7060	udgāthā	Arya measure, the same as the Giti	Āryā measure, the same as the Gīti	Typo	srhodes@snowcrest.net	Not required. SHS does not use IAST anywhere.
10/26/2024 12:18:15	SHS	2402	abala	See baruṇa	See varuṇa	Typo – Please note that this correction can be verified by looking up the corrected reference in Shabda Dictionary itself.	srhodes@snowcrest.net	Not required. v/b is a regional dilectical difference.
10/27/2024 16:30:20	SHS	38876	vyavasāyātmika	vyavasāyātmika	vyavasāyātmaka	"Typo – I believe that this is a ""print change"". Please have Jim and Andhrabharati confirm this correction. The confusion occurs because the feminine form is ""vyavasāyātmikā"", however the actual prātipadikam form is ""vyavasāyātmaka"". Also notice the Etymology listed here: E. vyavasāya, ātman self, kan added. When the affix ""kan"" is added, the vowel ""i"" only comes in the feminine gender. Both APTE and MW dictionary list """"vyavasāyātmaka"". Also, of course there is the word ""ātmaka"", and the correct feminine form will be ""ātmikā""; but there is no such word as ""ātmika""."	srhodes@snowcrest.net	Not required. 'ika' suffix is quite common. Technically known as 'Wak' suffix (in SLP1) in Paninian grammar.
10/31/2024 15:15:18	AP90	9956	kaṃkaḥ	A Vṛ hṇi	A Vṛṣṇi	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025
11/02/2024 12:52:27	SHS	10456	kila	Ealsehood	Falsehood	Typo	srhodes@snowcrest.net	Print Error. Done on 16 Feb 2025
11/02/2024 14:35:46	SHS	1439	anukampya	expeditions	expeditious	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 04:54:22	MW	5890.1	anirvartin	Main Entry Missing?	"The problem here is the word: ""(also)"" given in the Supplemental Definition: ""(also) unalterable, MBh."" The word ""(also)"" requires a Main Entry Definition to which this Supplementary Definition will be added. However No Main Entry is found for this word: ""anirvartin"". Attention Andhrabharati, We need your wise counsel!"	Main Entry Missing?	srhodes@snowcrest.net	Not required. Separate discussion carried out at https://github.com/sanskrit-lexicon/csl-orig/issues/1776
